,cuid,pred_convert_30
0,16838,0
1,532175,0
2,532176,1
3,532187,1
4,16938,0
5,532189,0
6,16948,1
7,532197,0
8,17017,0
9,17020,0
10,532205,0
11,532211,0
12,17139,0
13,17267,0
14,532226,0
15,17291,0
16,17308,1
17,532231,1
18,17378,0
19,17390,1
20,17431,1
21,17478,0
22,17545,0
23,17572,0
24,17633,0
25,532266,0
26,532276,0
27,532286,0
28,17882,0
29,532296,0
30,17953,0
31,18007,0
32,532314,0
33,532315,0
34,532317,0
35,18118,0
36,18142,1
37,18175,0
38,18178,0
39,18290,0
40,18337,0
41,18366,0
42,18434,0
43,18469,0
44,18499,0
45,18594,1
46,18617,1
47,18621,0
48,18633,0
49,532381,0
50,18781,0
51,18948,0
52,18958,0
53,18963,0
54,18989,1
55,19036,0
56,532420,0
57,19117,1
58,532425,0
59,19162,0
60,532432,0
61,19214,1
62,19313,0
63,19361,0
64,19384,0
65,19472,0
66,93194,0
67,93210,0
68,93214,0
69,532467,0
70,93283,0
71,532480,0
72,93402,0
73,93465,1
74,93601,0
75,532514,0
76,93741,0
77,93781,0
78,93822,0
79,93842,0
80,93846,0
81,93904,1
82,93908,0
83,532543,0
84,93920,0
85,94198,0
86,532577,0
87,94209,0
88,532579,0
89,94227,0
90,94282,0
91,94289,0
92,94309,0
93,532591,0
94,94374,0
95,94483,0
96,94530,1
97,532613,0
98,532619,1
99,94711,0
100,94781,0
101,94816,0
102,94832,0
103,94859,0
104,94867,0
105,94913,0
106,532646,0
107,94918,0
108,94962,1
109,532676,0
110,95309,0
111,95320,0
112,95391,0
113,95434,0
114,95451,0
115,532711,0
116,95511,0
117,532714,1
118,95526,0
119,95678,0
120,95781,0
121,169530,0
122,169632,0
123,169637,0
124,532756,0
125,169793,0
126,169852,0
127,169995,0
128,170593,1
129,170768,0
130,170790,0
131,170813,0
132,170823,0
133,170826,0
134,170841,0
135,170880,0
136,170901,0
137,170917,0
138,170919,0
139,170925,0
140,170928,0
141,170940,0
142,532819,0
143,532820,0
144,532826,0
145,532827,0
146,532842,0
147,532869,0
148,532877,1
149,2841,0
150,2913,0
151,2956,0
152,2995,0
153,3011,0
154,3024,0
155,3025,0
156,3034,0
157,3127,1
158,3181,1
159,532923,0
160,79152,0
161,532932,0
162,79263,1
163,532946,0
164,79374,0
165,532951,1
166,79388,1
167,532956,0
168,79512,0
169,79517,0
170,79544,0
171,532973,1
172,155446,1
173,155470,1
174,11371,0
175,11422,0
176,533017,0
177,533021,0
178,11575,0
179,11587,1
180,11618,0
181,11637,1
182,533030,0
183,11716,1
184,11743,0
185,533040,0
186,11869,0
187,11931,0
188,11952,0
189,11959,0
190,11962,0
191,12165,0
192,12211,0
193,12212,1
194,12218,1
195,12284,1
196,12373,0
197,533106,0
198,12499,1
199,533129,1
200,12567,0
201,12603,1
202,12616,0
203,12720,0
204,12723,0
205,12776,0
206,12882,0
207,12959,0
208,12998,0
209,533177,0
210,13058,0
211,533183,0
212,533184,0
213,13117,0
214,13163,0
215,13247,0
216,13292,0
217,13449,1
218,13459,0
219,13465,0
220,533237,0
221,13559,0
222,533253,0
223,13656,0
224,533259,0
225,533268,0
226,13874,0
227,13886,0
228,14029,0
229,87730,0
230,533298,0
231,87823,0
232,88048,0
233,88082,0
234,533326,0
235,533338,0
236,88211,0
237,88254,0
238,88276,1
239,88278,0
240,88312,0
241,88340,0
242,88343,0
243,88366,0
244,88367,0
245,88389,0
246,88435,0
247,88450,0
248,533370,0
249,88484,0
250,88528,0
251,88544,0
252,533383,0
253,533384,0
254,533397,0
255,533403,0
256,533429,1
257,533430,0
258,88942,0
259,88969,0
260,89114,0
261,89163,0
262,533449,0
263,89267,0
264,89314,0
265,89462,0
266,89497,1
267,89502,0
268,89574,0
269,533503,0
270,89668,0
271,89706,0
272,89760,0
273,89928,0
274,90077,1
275,90098,0
276,90112,0
277,90188,0
278,90221,0
279,533567,0
280,90302,0
281,90341,0
282,164105,0
283,164113,0
284,533593,0
285,164259,0
286,533598,0
287,533599,0
288,164360,0
289,164364,0
290,533601,0
291,164647,0
292,165043,0
293,165389,0
294,165395,0
295,165419,0
296,165429,0
297,165445,0
298,165473,0
299,165475,0
300,533645,0
301,533646,0
302,533669,0
303,533687,0
304,165518,0
305,533695,0
306,19564,0
307,533707,0
308,19709,0
309,19738,0
310,19774,0
311,533733,0
312,533740,0
313,20010,0
314,533745,0
315,20026,0
316,20070,0
317,20077,1
318,20165,0
319,20199,0
320,20359,1
321,20394,0
322,20434,1
323,20447,0
324,20455,0
325,20517,0
326,20554,0
327,20569,0
328,20577,0
329,20580,1
330,20583,0
331,20592,0
332,20615,0
333,20789,0
334,20802,0
335,20829,0
336,20883,1
337,20972,0
338,21084,0
339,533835,0
340,21143,0
341,21211,0
342,21245,0
343,21330,1
344,21332,1
345,21333,0
346,21334,0
347,533872,0
348,21439,0
349,21477,0
350,21481,0
351,21560,0
352,21648,0
353,533913,0
354,533930,0
355,21907,0
356,21918,0
357,21948,0
358,21998,0
359,22126,1
360,22152,0
361,95884,0
362,95932,0
363,95954,0
364,95989,0
365,533967,0
366,533996,0
367,96184,0
368,533998,1
369,96233,0
370,96264,1
371,96296,1
372,96340,0
373,534015,0
374,534019,0
375,96394,1
376,534024,0
377,96432,0
378,96515,0
379,96564,0
380,534045,0
381,96675,0
382,96681,0
383,96690,1
384,96716,0
385,96745,0
386,96792,1
387,96897,0
388,96911,0
389,97017,0
390,534085,0
391,97218,0
392,97393,0
393,97408,0
394,97415,0
395,97472,0
396,97528,0
397,97603,0
398,97631,0
399,97632,0
400,97661,0
401,97693,0
402,97740,0
403,97747,0
404,97755,0
405,97765,0
406,534159,0
407,97844,0
408,97912,0
409,534182,0
410,534193,0
411,98175,0
412,98234,0
413,534214,1
414,98349,1
415,98452,0
416,98471,0
417,534231,0
418,98480,0
419,98533,0
420,534239,0
421,172227,0
422,172316,0
423,172345,0
424,534263,0
425,534267,0
426,172446,0
427,172516,0
428,172555,0
429,172671,0
430,172809,0
431,173359,0
432,173450,1
433,173652,0
434,173656,0
435,442099,0
436,173666,1
437,173667,0
438,173670,0
439,173677,0
440,173703,0
441,173725,0
442,173744,0
443,173763,0
444,173766,0
445,534323,0
446,534336,0
447,30401,1
448,30418,1
449,30470,1
450,534383,0
451,30615,0
452,30722,0
453,30854,0
454,30950,0
455,31040,0
456,31060,0
457,534442,0
458,31112,1
459,534452,0
460,31247,0
461,31250,0
462,31280,0
463,31317,0
464,534475,0
465,31377,0
466,534478,0
467,534481,0
468,31605,0
469,534497,0
470,31726,0
471,31794,0
472,31816,0
473,31825,0
474,31828,0
475,31858,0
476,31878,1
477,31938,0
478,32023,0
479,534531,0
480,32055,0
481,32159,0
482,32177,0
483,32186,0
484,32275,0
485,32283,0
486,32296,1
487,534547,0
488,32360,1
489,32424,0
490,32426,0
491,32430,0
492,534565,0
493,32489,1
494,32491,0
495,32492,0
496,534571,1
497,32570,0
498,534580,0
499,534592,1
500,32680,0
501,534605,0
502,534614,0
503,534616,0
504,32888,0
505,32918,0
506,32947,0
507,32995,0
508,534629,0
509,33003,0
510,33012,0
511,106679,0
512,106689,0
513,106704,0
514,106776,0
515,534644,1
516,106802,0
517,106825,0
518,106972,0
519,107007,0
520,107008,1
521,107053,0
522,107093,0
523,107152,0
524,534679,0
