,revenue_30,numorderone,numorderthreeone,numorderseventhree,numorderthirtyseven,numordersixtythirty,numorderyearsixty,sumrevone,sumrevthreeone,sumrevseventhree,sumrevthirtyseven,sumrevsixtythirty,sumrevyearsixty,numbamorder,numselforder,totalrev,aov,dayssincelastord,cuidshare,numstores,pospercentage,numinf,numinfconnect,numinfphone,numinfquote,percentlarge,percdirtythirty,percdirtyninetythirty,percdirtyyearninety,numbilling,numreturn,numwims,numproblem,numother,percentresolved,minnps,avgnps,maxnps,nps_count,numquote,numorderfromquote,quoteconrate,avgquoteprice,avgconquoteprice,numvisitone,numvisitthreeone,numvisitseventhree,numvisitthirtyseven,numvisitsixtythirty,numvisityearsixty,numvisittotal,numloggedinone,numloggedinthreeone,numloggedinseventhree,numloggedinthirtyseven,numloggedinsixtythirty,numloggedinyearsixty,numsecondsonsiteone,numsecondsonsitethreeone,numsecondsonsiteseventhree,numsecondsonsitethirtyseven,numsecondsonsitesixtythirty,numsecondsonsiteyearsixty,numtotalpageviewsone,numtotalpageviewsthreeone,numtotalpageviewsseventhree,numtotalpageviewsthirtyseven,numtotalpageviewssixtythirty,numtotalpageviewsyearsixty,numatcone,numatcthreeone,numatcseventhree,numatcthirtyseven,numatcsixtythirty,numatcyearsixty,numideaboardone,numideaboardthreeone,numideaboardseventhree,numideaboardthirtyseven,numideaboardsixtythirty,numideaboardyearsixty,dayssincelastvisit,sumatcprice,avgatcprice,numsearchtermsone,numsearchtermsthreeone,numsearchtermsseventhree,numsearchtermsthirtyseven,numsearchtermssixtythirty,numsearchtermsyearsixty,numskusviewedone,numskusviewedthreeone,numskusviewedseventhree,numskusviewedthirtyseven,numskusviewedsixtythirty,numskusviewedyearsixty,avgpriceone,avgpricethreeone,avgpriceseventhree,avgpricethirtyseven,avgpricesixtythirty,avgpriceyearsixty,avgprice,numtasksfirstintroone,numtasksfirstintrothreeone,numtasksfirstintroseventhree,numtasksfirstintrothirtyseven,numtasksfirstintrosixtythirty,numtasksfirstintroyearsixty,numtaskscadenceone,numtaskscadencethreeone,numtaskscadenceseventhree,numtaskscadencethirtyseven,numtaskscadencesixtythirty,numtaskscadenceyearsixty,numtasksreassignone,numtasksreassignthreeone,numtasksreassignseventhree,numtasksreassignthirtyseven,numtasksreassignsixtythirty,numtasksreassignyearsixty,numtaskscustactone,numtaskscustactthreeone,numtaskscustactseventhree,numtaskscustactthirtyseven,numtaskscustactsixtythirty,numtaskscustactyearsixty,numcallsone,numcallsthreeone,numcallsseventhree,numcallsthirtyseven,numcallssixtythirty,numcallsyearsixty,numemailsone,numemailsthreeone,numemailsseventhree,numemailsthirtyseven,numemailssixtythirty,numemailsyearsixty,totalcalldurationone,totalcalldurationthreeone,totalcalldurationseventhree,totalcalldurationthirtyseven,totalcalldurationsixtythirty,totalcalldurationyearsixty,percsecondsinbound,percemailopenedone,percemailopenedthreeone,percemailopenedseventhree,percemailopenedthirtyseven,percemailopenedsixtythirty,percemailopenedyearsixty,percemailclickedone,percemailclickedthreeone,percemailclickedseventhree,percemailclickedthirtyseven,percemailclickedsixtythirty,percemailclickedyearsixty,currentapplicability,numemaillist,dayssinceenrollment,roll_up_Onboarding,roll_up_Retention,roll_up_Unmanaged,currentstatus_Active,currentstatus_Enrolled,currentstatus_In Progress,companytypegroup_Business,companytypegroup_Trade,team_CA,team_US,customersource_Affiliates,customersource_Bulk Upload,customersource_Email,customersource_External Application,customersource_Gateway,customersource_Internal Application,customersource_Internal Customer Scrape,customersource_Other,customersource_Partners,customersource_Quotes,customersource_Referral,customersource_Search - Paid,customersource_Social - Paid,accrole_None,accrole_Other,accrole_Primary,accrole_Purchaser,num_employees_1,num_employees_11to50,num_employees_2to5,num_employees_50plus,num_employees_6to10,num_employees_None,num_purchases_year_11to25,num_purchases_year_1to2,num_purchases_year_25plus,num_purchases_year_3to5,num_purchases_year_6to10,num_purchases_year_None,cost_purchases_year_100plus,cost_purchases_year_1to5,cost_purchases_year_25to100,cost_purchases_year_5to25,cost_purchases_year_None,cost_purchases_year_lessthan1,enrollmentmethod_directEIN,enrollmentmethod_directOther,enrollmentmethod_email,enrollmentmethod_liveTransfer,enrollmentmethod_other,enrollmentmethod_phone
14,323.97,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3631.55,0.0,0.0,2.0,3631.55,1815.775,38,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,0.0,0.0,0.0,3.0,15.0,300.0,318.0,0.0,0.0,0.0,1.0,13.0,145.0,0.0,0.0,0.0,161.0,56370.0,650279.0,0.0,0.0,0.0,8.0,1096.0,5121.0,0.0,0.0,0.0,0.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0,10.0,21,2348.7450223413953,383.4006528766059,0.0,0.0,0.0,0.0,35.0,195.0,0.0,0.0,0.0,2.0,203.0,1196.0,557.0595433396633,642.5092903335704,595.2858935752498,440.5,116.831330049261,361.237449832776,325.937009279086,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.07016670139376184,0.0,0.0,0.0,0.22352941176470606,0.335106382978723,0.22243346007604606,0.0,0.0,0.0,0.0235294117647059,0.0159574468085106,0.0712927756653992,8.33333333333333,3.0,42,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
59,34.94,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,10.0,10.0,10.0,1.0,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,0.0,2.0,0.0,0.0,3.0,40.0,45.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1092.0,0.0,0.0,658.0,36632.0,0.0,34.0,0.0,0.0,22.0,832.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3,2348.7450223413953,383.4006528766059,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,2.0,114.0,557.0595433396633,265.3,595.2858935752498,553.4246656001163,554.495,132.81350877193,142.206186440678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129834254143646,0.0,0.0,0.0,0.0,0.0,0.00552486187845304,4.33333333333333,3.0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
78,4398.06,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,0.0,0.0,10.0,19.0,14.0,126.0,169.0,0.0,0.0,6.0,0.0,0.0,39.0,0.0,0.0,12616.0,9063.0,2211.0,137935.0,0.0,0.0,50.0,85.0,72.0,867.0,0.0,0.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4,799.0,799.0,0.0,0.0,2.0,2.0,3.0,28.0,0.0,0.0,7.0,43.0,22.0,267.0,557.0595433396633,642.5092903335704,2899.84857142857,1792.7190697674398,2233.36909090909,1501.82404494382,1615.06489675516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0634920634920635,0.0227272727272727,0.0531914893617021,0.0,0.0,0.4,0.0317460317460317,0.0113636363636364,0.0212765957446809,7.33333333333333,3.0,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
94,1905.63,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,0.0,0.0,1.0,7.0,3.0,7.0,18.0,0.0,0.0,1.0,6.0,3.0,6.0,0.0,0.0,1391.0,10787.0,1142.0,4505.0,0.0,0.0,40.0,277.0,59.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,6,2348.7450223413953,383.4006528766059,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,10.0,57.0,12.0,24.0,557.0595433396633,642.5092903335704,352.048,412.698070175439,525.8275,198.91375,370.17601941747597,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0666666666666667,0.0581395348837209,0.0,0.0,0.0,0.0,0.0666666666666667,0.0,3.0,1.0,9,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
97,2022.69,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,1.0,0.0,0.0,849.99,1504.7561148694288,0.0,0.0,3.0,17.0,11.0,94.0,125.0,0.0,0.0,2.0,9.0,0.0,35.0,0.0,0.0,539.0,24730.0,11436.0,144143.0,0.0,0.0,13.0,349.0,74.0,1687.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,6.0,6,2500.0,2500.0,0.0,0.0,0.0,1.0,4.0,18.0,0.0,0.0,2.0,100.0,17.0,543.0,557.0595433396633,642.5092903335704,2500.0,1034.2605,1832.80176470588,1511.40615101289,1450.56981873112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,53.0,0.7923728813559321,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0161290322580645,4.0,2.0,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
101,489.99,1.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,468.0,468.0,1,1.0,1.0,-0.0469871794871795,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0,1.0,0.5,466.495,468.0,1.0,4.0,0.0,13.0,31.0,71.0,120.0,1.0,2.0,0.0,12.0,28.0,10.0,638.0,3447.0,0.0,5794.0,45135.0,62230.0,8.0,96.0,0.0,162.0,368.0,779.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,776.17,97.02125,0.0,0.0,0.0,2.0,13.0,31.0,5.0,15.0,0.0,26.0,64.0,148.0,179.764,166.37266666666702,595.2858935752498,589.6576923076921,522.77125,630.808175675676,564.118139534884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.975699220541036,0.33333333333333304,0.28571428571428603,0.0,0.436363636363636,0.470588235294118,0.283783783783784,0.0,0.28571428571428603,0.0,0.12727272727272698,0.188235294117647,0.0594594594594594,7.0,1.0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
118,7632.7,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,10.0,10.0,10.0,1.0,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,1.0,0.0,10.0,7.0,7.0,46.0,71.0,1.0,0.0,9.0,6.0,6.0,27.0,607.0,0.0,8539.0,9038.0,687.0,44246.0,17.0,0.0,157.0,98.0,22.0,665.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,2.0,0.0,0.0,1,2348.7450223413953,383.4006528766059,1.0,0.0,1.0,9.0,0.0,39.0,6.0,0.0,67.0,41.0,8.0,168.0,209.171666666667,642.5092903335704,456.701641791045,1248.00951219512,1294.94625,327.526845238095,511.74658620689695,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0975609756097561,0.0828402366863905,0.0,0.0,0.0,0.1,0.0731707317073171,0.0325443786982249,5.087618976054497,1.3320809538122433,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
134,287.99,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,0.0,0.0,2.0,8.0,23.0,123.0,156.0,0.0,0.0,2.0,7.0,10.0,28.0,0.0,0.0,570.0,1739.0,16813.0,83168.0,0.0,0.0,23.0,55.0,173.0,952.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,5,2348.7450223413953,383.4006528766059,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,15.0,153.0,557.0595433396633,642.5092903335704,595.2858935752498,99.0,127.12,506.81908496732,447.989555555556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,0.0,0.07016670139376184,0.0,0.1,0.111111111111111,0.116071428571429,0.204081632653061,0.16094986807387898,0.0,0.0,0.111111111111111,0.0625,0.156462585034014,0.12005277044854902,7.0,2.0,33,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
144,895.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.99,0.0,0.0,0.0,0.0,0.0,1.0,49.99,49.99,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,1.0,1.0,2.0,34.0,27.0,165.0,230.0,1.0,1.0,2.0,24.0,16.0,159.0,118.0,1079.0,7513.0,40403.0,20878.0,254679.0,4.0,24.0,28.0,653.0,364.0,2867.0,0.0,0.0,0.0,9.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3095.75,182.10294117647098,0.0,0.0,0.0,2.0,2.0,19.0,0.0,6.0,7.0,137.0,74.0,738.0,557.0595433396633,78.5833333333333,322.87857142857104,342.273138686131,424.85,383.486327913279,378.456216216216,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.5,0.5,0.25,0.424242424242424,0.5,0.35211267605633795,0.0,0.0,0.0,0.0606060606060606,0.0,0.0140845070422535,7.0,1.0,10,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
158,357.95,0.022366522366522368,0.0378272521129664,0.0782312925170068,0.3364254792826221,0.3370439084724799,1.323953823953824,10.836336487322212,17.994792084106383,39.92685131931549,153.2731109896892,141.94815756107494,641.592621288684,0.20820449391877963,1.927643784786642,1005.9117872022583,489.6433235101759,1000,0.9759889299195631,1.093176664605236,-0.0033029132951051094,0.9451376714447768,0.35124265236671137,0.5523357739507064,0.07930287717850881,0.16713655637750108,0.06129529012182072,0.05828086222080533,0.09289248178320615,0.3137254901960784,0.39155354449472096,0.6437405731523379,0.9040723981900453,1.1104072398190046,0.6968152876710525,8.802454704850964,8.839811026690045,8.873758036236119,1.1057860900058445,2.0566518141311265,0.6626352641629535,0.3617673730312738,2259.2865248775997,1504.7561148694288,0.0,1.0,0.0,19.0,0.0,2.0,22.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,42506.0,0.0,101.0,0.0,2.0,0.0,563.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,17477.61,672.215769230769,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,2.0,557.0595433396633,642.5092903335704,595.2858935752498,650.867786885246,542.959517501028,164.55,643.023951612903,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.33333333333333304,0.75,0.7777777777777779,0.0,0.0,0.0,0.0,0.0,0.222222222222222,0.0,0.0,7.0,1.0,13,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
